"Timestamp","... regarding your studies:","... regarding your general mood:","... regarding your expectations (worse/better than expected?):","If you want to name reasons for the above, please drop a line.","Online classes work well for lectures (lecturer presents information)","Online classes work well for tutorials (teacher presents and discusses exercises and solutions) ","Online classes work well for ""Testate"" (students present homework to e.g. research assistant)","Online classes work well for small seminars (<= 15 students)","Online classes work well for large seminars (>15 students)","Online classes work well for giving or listening to presentations","Online classes work well for reading clubs","Online classes work well for study projects","Solving homework exercises online as a group works fine","Working together on other projects (presentation, paper, etc.) online works fine.","Working online as a student assistant (HiWi) works fine.","Participating in extracurricular activities (e.g. student body, university politics) online works fine.","Managing general administration tasks (e.g. examination office) remotely works fine. ","Do you want to add something more specific about the parts of online university that work well or not so well? ","Do you have suggestions on how to improve the shortcomings of specific types of sessions?","How problematic was the summer term 2020 for you in general?","Which of the following issues or problems affected you as a result of the Covid-19 crisis and/or the online semester? ","Do you suffer from any psychological conditions?","If you suffer from any psychological conditions, did your situation worsen since March 2020?","If you like, please tell us about any particularly striking problems that you encountered personally. If possible, please mention ways in which similar problems could be preventable or solvable for others in the future.","To cope with any arising issues, which of the following services have you used?","How many ECTS points are you aiming to get this semester?","How many classes did you drop because of the current situation?","Are you currently following more or less courses than in other semesters?","How much work are the current digital courses compared to usual university courses?","Do you think that you will need more semesters than planned to complete your studies because of Corona?","Are you regularly taking part in lectures or seminars that are broadcasted live?","Have you been able to complete all your courses from the winter term?","If you have no yet completed all of your courses from the winter term, do you already know when and how you will be able to complete these courses?","How often do you arrange meetings with other people for studying?","Do you meet virtually with people for studying?","Would you wish there would be offer more online social events?","Do you feel a lack of structure in your day because of the online semester?","What tech-setup do you use for university? (Select all that apply)","Which of the university's equipment or facilities that fell away during the last semester is most crucial to your studies/you had a hard time compensating for?","How many fellow students are you regularly in contact with via chat/phone/video/screenshare (primarily uni-matters)?","Which of the following messenger/chat services do you need to communicate within the courses?","What is the most useful format for lecture slides?","What 'Format' of recorded lectures do you find the most engaging/easy to follow ?","In your opinion, how much of Stud.IP's potential is used by the average course ?","Which Stud.IP service would you like to see used more often?","Did you know? There is an interactive Google Sheet called the Coxi Grade Calculator the keep track of required courses, grades and your thesis! (Links provided in the mail to this survey.)","Did you know? There is a virtual university campus to join via a Discord (chat service) server, that provides screensharing, voice/videoChat, updates on courses and emotional support in tough times! (Links provided in the mail to this survey.)","Share your Secrets: Times and Dates - Please let us know about all the apps you are using regarding time management. [Comma, separated answers, are, highly apprechiated]","Share your Secrets: Files and Notes - Please let us know about all the apps you are using regarding file organization and note-taking. [Comma, seperated answers, are, highly apprechiated]","Share your Secrets: Peers and Partners - Please let us know about all the apps you are using regarding personal connection and team-learning. [Comma, seperated answers, are, highly apprechiated]","Share your Secrets: The MVP - Please let us know about the app/service/device that you are using the most and could not study without. [Name the app and explain what makes it your ""Most Valuable Player""]","What program are you enrolled in?","What semester are you in?","In case the next semester will be an online semester like the current, how important would it be for you to know this as soon as possible?","Please share anything that so far you had no chance of mentioning!"
"2020/06/12 2:39:07 PM GMT+2","10","10","10","I'm an introvert and I'm enjoying not being forced to have that much of real-time and also face-to-face conversation with others.","10","10","10","10","10","10","5","10","3","2","10","5","10","Yes, I love the fact that evaluations are getting more project-based and getting further away from tests. Tests suck! They are stressful and not that accurately representing ones' understanding and learning of the topics. I'm so enjoying this online phase. ","Heh? What shortcoming? Everything is great!","1","no particular issues;Even the post is going online now. How cool is it! I can mail my letters at home!","No","I dont suffer from any psychological condition","","Oh I once contact a person for getting advice about registering my thesis which they were not helpful. But then I directly contacted the responsible person in the Prüfungsamt and then everything went well afterwards.","more than 30 ECTS","None","about the same","4","No","Yes","Yes","Yes","about the same","No","No","No","Desktop/Laptop Computer;Tablet (+ Pen);Pen & Paper","Printers","1","Slack;Stud.IP Forum","No idea! There are too many different ways for interacting.","Video of slides + Narration by lecturer.","9","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No","Google Calendar, Cellphone clock alarms","Google Keep, Google Sheets","Big Blue Button, Slack","","MSc CogSci","7","It doesn't matter at all when I would know",""
"2020/06/12 3:14:29 PM GMT+2","4","3","3","It's very, very different depending on the course. Some lecturers are doing great things (especially ECRs!) and some are doing the absolute minimum and it just doesn't work at all.","8","","","","3","4","","","1","3","","","","","","2","internship (or similar) cancelled / postponed;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","Suffer from tinnitus and it is made considerably worse with hours of very poor quality audio from online seminars and lectures.","None","less than 15 ECTS","2","a bit less","6","No","No","Yes","","less often than in previous semesters","No","No","No","Desktop/Laptop Computer;Printer;Pen & Paper","Library Books","5","Slack;Stud.IP Forum;Telegram","","","1","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","Yes","","Zotero","","Notepad","MSc CogSci","6","It doesn't matter at all when I would know",""
"2020/06/12 3:53:58 PM GMT+2","1","2","3","The social isolation is affecting my mood and it is very hard for me to motivate myself enough to get all the work done at home. I'm really missing a place like the university rooms or the library to focus solely on learning.","8","3","5","","6","8","","5","6","8","","","4","","","10","mental health issues;social issues;issues with access to study material (library, labs)","Yes (Diagnosed or Suspected; via health care professional)","Yes, to the degree where it made me dysfunctional on some level","It is incredibly hard to motivate myself enough at home and without most social interactions and as someone who suffers from diagnosed depression it would be incredible helpful to have some access to some remote learning place.","Psychological counseling","25 ECTS","3","about the same","7","Yes, one semester more","Yes","No","Yes","less often than in previous semesters","Yes","Yes","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","8","Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","7","Vips (With Question Pool & Selftest options )","No","Yes","","","Telegram, Skype, Discord","Skype. It is my MVP service because I use it at least once a week to discuss my group's worksheet as well as prepare our weekly 'Testat'.","BSc CogSci","6","Very important to know ASAP","Thank you for making efforts to make the online semester as accommodating as possible!"
"2020/06/12 4:21:18 PM GMT+2","6","6","6","Some courses do (way) better than expected, some do really really bad...","5","8","1","","","1","","7","","8","10","","","Whether online classes (lecturer presents information) work well depends completely on how it is done: Just doing a regular lecture and recording it is not really helpful, but they are exhausting. Doing those live, with us having to attend, is even worse. Really making use of the available digital means is awesome, though; e.g. short pod- and/or screencasts, a well balanced mix of online tutorials and reading assignments, even VIPS can be really great.","PLEASE DON'T try to just cram physical lectures/seminars into a digital format. As stated before, there are great ways to embrace digital formats - which of course have shortcomings of their own - but please understand that it's a different beast than regular/classical formats and thus have to be implemented differently.","6","mental health issues;issues with technical equipment (computer, internet, ...)","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","Advice mentoring team;Advice dean of studies;talking to other students about their issues and how to deal with them - but I guess that's obvious?","15 ECTS","1","a bit less","8","Yes, more than one semester more","No","Yes","","less often than in previous semesters","No","No","Maybe","Desktop/Laptop Computer;Tablet (+ Pen);Printer;Pen & Paper","Mensa","2","Stud.IP Forum;Telegram","HTML/Web","Narration by lecturer (Audio only)","2","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No","Clock, Calendar","Pen and Paper, VSCode, Libreoffice Calc, Google Spreadsheets, Academic Cloud Only Office","WhatsApp, Telegram, Discord, Github","pCloud (or $your_fav_cloud_fileservice) - because having all the slides and papers, notes and whatnot easily available on any device is pure gold","MSc CogSci","4","It doesn't matter at all when I would know",""
"2020/06/12 4:33:14 PM GMT+2","8","5","10","","10","","","4","4","7","","","7","7","","","","","","3","mental health issues;social issues","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","None","25 ECTS","None","a bit less","8","Yes, one semester more","Yes","Yes","","less often than in previous semesters","Yes","No","Maybe","Desktop/Laptop Computer;Tablet (+ Pen);Printer;Pen & Paper","Mensa","3","Discord","PDF (no Lecturer Comments)","Video of slides + Narration by lecturer.","9","Vips (With Question Pool & Selftest options )","No","Yes","","","","","BSc CogSci","6","Good to know at some point but not urgent",""
"2020/06/12 5:56:29 PM GMT+2","6","3","7","","4","1","1","","6","","","","4","7","","","","","","6","mental health issues;social issues;Group work and weekly assignments are much more time consuming online  ","No","I dont suffer from any psychological condition","","None","25 ECTS","2","","9","Yes, more than one semester more","Yes","No","No","about the same","Yes","","Maybe","Desktop/Laptop Computer;Tablet (+ Pen)","Mensa","5","Slack;Riot;Discord","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","7","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No",",clock,","","Google Docs","Laptop + additional Monitor","BSc CogSci","2","Very important to know ASAP",""
"2020/06/12 8:28:58 PM GMT+2","7","9","8","no major problems have arised other than maybe the timing of the soon to be compensatory exams from last semester","7","9","9","10","7","7","","","4","5","","","","","","3","issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs);more lazyness","No","I dont suffer from any psychological condition","","None","25 ECTS","None","a bit less","7","Yes, one semester more","Yes","No","No","less often than in previous semesters","No","Yes","Yes","Desktop/Laptop Computer;Hybrid Laptop/Tablet","Secluded Workplaces (e.g. Library Rooms)","4","Stud.IP Forum;Discord;WA/Telegram","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","4","Vips (With Question Pool & Selftest options )","Yes","Yes","Lightning - Thunderbird Add-on with sync to sogo calendar and phone calender and also task checklist","Seafile/MyShare, Syncthing, Firefox Send","BBB, WA, Discord","Laptop with external mouse","BSc CogSci","6","Very important to know ASAP","Selforganizing and discipline has been highly varying"
"2020/06/12 9:11:49 PM GMT+2","3","1","3","","7","4","5","2","2","3","5","2","3","3","","","3","","","9","mental health issues;social issues;issues with technical equipment (computer, internet, ...)","Seems likely /or/ Yes, but not diagnosed","Yes, to the degree where it made me dysfunctional on some level","lethargy and unable to concentrate ","Advice mentoring team;Psychological counseling","25 ECTS","3","about the same","8","Yes, more than one semester more","No","No","No","more often than in previous semesters","Yes","Yes","Yes","Desktop/Laptop Computer;Pen & Paper","Frosch","5","Slack;Riot","Powerpoint","Video of slides + Narration by lecturer.","4","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","notion.so, dynalist.io","atom","discord, telegram","","BSc CogSci","2","Very important to know ASAP","Please..don't make another online semester.. please"
"2020/06/13 8:13:15 AM GMT+2","9","7","9","i'm in pakistan and this is my first semester. U Osnabrueck, as of now, is merely coursera to me. i am genuinely impressed by how well this semester has been executed. however, i do think about what i'm missing out on by not interacting with my college mates","9","8","8","9","9","9","5","2","4","6","6","1","3","i cannot collaborate, discuss or group study with fellows. i cannot discuss my research ideas with a process if i happen to pass them by in the corridor or i see their office door open","no","8","mental health issues;internship (or similar) cancelled / postponed;could not travel to Germany;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","","i asked for a helper for foriegn students, however i only spoke to her over whatsapp. she helped me use studip etc","more than 30 ECTS","None","","5","No","Yes","Yes","","","Yes","","No","Desktop/Laptop Computer;Pen & Paper","","","","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","9","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No","i am a routine animal. don't need apps.","i use pen, paper and binder clips. this is not the name of an app","big blue button, zoom","google chrome, laptop - these two are my outlet to the internet","MSc CogSci","1","Very important to know ASAP","i admire the german people for how they have not compromised on learning despite the conditions"
"2020/06/13 9:24:35 AM GMT+2","5","4","5","","10","7","5","7","5","7","5","5","7","5","5","5","3","","","6","social issues;issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","","Examination office","30 ECTS","2","a bit less","5","No","No","No","Yes","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","7","Stud.IP Forum","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","6","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","","","","","","6","Very important to know ASAP",""
"2020/06/13 10:16:52 AM GMT+2","8","4","7","","5","3","8","7","4","6","","","4","","","","","","","4","social issues;internship (or similar) cancelled / postponed","No","I dont suffer from any psychological condition","","None","more than 30 ECTS","None","a bit more","4","No","Yes","Yes","","less often than in previous semesters","No","Yes","Maybe","Desktop/Laptop Computer;Pen & Paper","Frosch","4","Telegram","HTML/Web","Video of slides + Narration by lecturer.","7","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","","","","","BSc CogSci","4","Good to know at some point but not urgent",""
"2020/06/13 11:22:29 AM GMT+2","4","5","3","","4","3","5","","6","5","4","3","3","4","","6","6","","","8","mental health issues;social issues;issues with access to study material (library, labs)","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","None","25 ECTS","2","a bit less","9","Yes, more than one semester more","Yes","No","No","less often than in previous semesters","No","Yes","Yes","Desktop/Laptop Computer;Hybrid Laptop/Tablet;Tablet (+ Pen)","Mensa","4","Telegram","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","6","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","No","","","","","BSc CogSci","2","Very important to know ASAP",""
"2020/06/13 12:10:05 PM GMT+2","3","2","3","General mental health struggles, that have increased due to the intense work load of online courses and the thereby caused decreased amount of courses I can manage. ","7","5","4","6","1","2","6","","2","2","","","6","Due to the challenging manner of online courses, I have had to drop a lot of courses in the beginning to focus only on those courses I really want to do. Now, I am really disappointed as the course 'Action and Cognition - Motor Systems' has introduced additional work (an additional presentation of a paper)  which I will not have the time to do. I think this is unfair to students who have dropped other courses to engage in this one. (The lecturer has made the students believe that it would be a chance to do the presentation instead of the exam (not additionally) which has been greeted by enthusiasm. He interpreted this as support for introducing an ADDITIONAL presentation and cutting the length of the exam (without reducing the ground to be covered, therefore no decreased work load).
So, what I want to say is that adding more work load to the course (in the middle of the semester) in times of online university is something that definitely does not work well. -- Another thing that does not work for me online are group presentations.","For 'Action and Cognition': cut the obligatory additional presentation.","8","mental health issues;social issues;term abroad cancelled / postponed;internship (or similar) cancelled / postponed;issues with technical equipment (computer, internet, ...)","Yes (Diagnosed or Suspected; via health care professional)","Yes, but i can somehow deal with it","The cancellation of my scholarship for both an internship and a semester aborad has left me in a state where I do not have any aim I am working towards/no plans. The impossibility to provide a good solution for postponing both has therefore been a major course for the worsened mental health. Providing motivating talks or outlooks for future possibilities (after the Bachelor) would be helpful (e.g. former Cogsci students describing there experiences).","Psychological counseling","20 ECTS","3","much less","8","Yes, one semester more","Yes","No","Yes","less often than in previous semesters","No","Yes","Yes","Hybrid Laptop/Tablet;Pen & Paper;I had to by an additional dsl-wifi device + flatrate.","Secluded Workplaces (e.g. Library Rooms)","3","Riot;Blubber;Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","5","Wiki (Look up specific descriptions & definitions)","Yes","No","","","","","BSc CogSci","4","Good to know at some point but not urgent",""
"2020/06/13 12:32:54 PM GMT+2","2","2","1","","","","","","","","","","3","4","","","8","","","7","physical health issues;mental health issues;social issues","No","I dont suffer from any psychological condition","","None","less than 15 ECTS","None","much less","9","Yes, one semester more","No","No","No","about the same","Yes","No","Yes","Desktop/Laptop Computer","Mensa","2","Stud.IP Forum","HTML/Web","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","2","File System (With according Folders & File Names)","Yes","Yes","","","","","BSc CogSci","6","Very important to know ASAP",""
"2020/06/13 12:35:28 PM GMT+2","3","3","6","clearer communication of course requirements","7","5","9","","3","3","","","8","1","","","","","","7","social issues;term abroad cancelled / postponed","No","","I have troubles working at home productively an  problems handling my workload, which causes a lot of stress. It became harder to get my head free and enjoy freetime and relax at home. Since my room is very dark I miss studying at the library or the Frosch, but due to the current situation that its not possible to open them for this pupose.","None","25 ECTS","3","a bit less","5","No","No","Yes","","less often than in previous semesters","No","","Yes","Desktop/Laptop Computer;Pen & Paper","Library","3","Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","7","","Yes","Yes","","","","","BSc CogSci","4","Good to know at some point but not urgent",""
"2020/06/13 2:26:07 PM GMT+2","4","3","6","I really miss to learn in small groups together and i miss to go to tutorials. If you are actually in the  same room as the tutor, it is far easier to ask everything and to make clear where the problem lies.","6","3","4","3","1","3","2","3","4","3","","","","In my opinion the most important part of a seminar is the open discussion between participants and lecturers. This is not really possible im the bbb-seminars that i have seen so far.","I wish i had. I just hope that small groups are allowed to work together again as soon as possible.","7","mental health issues;social issues","No","","","","25 ECTS","2","a bit less","5","Yes, one semester more","No","No","No","less often than in previous semesters","Yes","No","Yes","Desktop/Laptop Computer;Hybrid Laptop/Tablet","Secluded Workplaces (e.g. Library Rooms)","4","Riot;Discord","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","6","Wiki (Look up specific descriptions & definitions)","Yes","No","","","","","BSc CogSci","2","Good to know at some point but not urgent",""
"2020/06/13 3:05:52 PM GMT+2","5","2","7","","6","","","","","","","","","","","","","","","","mental health issues","Yes (Diagnosed or Suspected; via health care professional)","Yes, to the degree where it made me dysfunctional on some level","","","20 ECTS","","","","Yes, one semester more","Yes","No","No","about the same","Yes","No","Yes","Desktop/Laptop Computer;Printer","Secluded Workplaces (e.g. Library Rooms)","","Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","3","","No","No","toggle, freedom.to","notion.so","","","MSc CogSci","2","Very important to know ASAP",""
"2020/06/13 3:52:36 PM GMT+2","5","4","5","","5","6","8","","","","","","","7","","","7","","","7","mental health issues;social issues;term abroad cancelled / postponed;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","Psychological counseling","30 ECTS","1","about the same","8","Yes, one semester more","Yes","No","Yes","less often than in previous semesters","Yes","","Yes","Desktop/Laptop Computer;Pen & Paper;second monitor","Frosch","5","Discord","Powerpoint","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","7","","Yes","No","StudyBunny","","Discord, WhatsApp, Skype","","BSc CogSci","4","Good to know at some point but not urgent",""
"2020/06/13 4:03:38 PM GMT+2","6","4","5","","8","8","","8","","","","","","","","","6","","","7","internship (or similar) cancelled / postponed;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","","","","Examination office","more than 30 ECTS","1","about the same","8","Yes, one semester more","Yes","No","Yes","more often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","8","Discord","Powerpoint","Video of slides + Narration by lecturer.","7","Cliqr (Online Polls & Surveys)","Yes","Yes","","","","","BSc CogSci","6","Very important to know ASAP",""
"2020/06/13 4:22:56 PM GMT+2","6","4","6","","8","8","","","","","","","","","6","","9","","","3","social issues;internship (or similar) cancelled / postponed;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","","Examination office","","","","","","","Yes","","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Pen & Paper","Mensa","6","Slack","PDF (no Lecturer Comments)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","6","Wiki (Look up specific descriptions & definitions)","Yes","Yes","","","","","BSc CogSci","7","Very important to know ASAP",""
"2020/06/13 10:11:56 PM GMT+2","7","8","9","","8","8","","","","","","8","8","8","","","","","","4","no particular issues","No","I dont suffer from any psychological condition","","","30 ECTS","None","a bit more","6","No","Yes","No","No","about the same","No","No","Yes","Desktop/Laptop Computer;Tablet (+ Pen)","Library Books","6","Riot;Stud.IP Forum;Discord","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","7","File System (With according Folders & File Names)","No","Yes","","","","","BSc CogSci","2","Good to know at some point but not urgent",""
"2020/06/14 12:39:22 AM GMT+2","2","1","1","","4","","","8","1","5","","","5","5","","","","","","10","mental health issues;financial issues","Yes (Diagnosed or Suspected; via health care professional)","Yes, to the degree where it made me dysfunctional on some level","","None","20 ECTS","3","a bit less","6","Yes, one semester more","Yes","No","No","less often than in previous semesters","No","","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","","2","","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","7","","No","No","","","","","BSc CogSci","7","Very important to know ASAP",""
"2020/06/14 3:06:04 AM GMT+2","10","7","10","Its nice to have your own sleeping cycle, but studying together is more fun in person","8","9","9","9","9","5","","","7","","","","3","","","3","no particular issues","No","I dont suffer from any psychological condition","It is quiet overcomplicated to get your transcript of records, to then send it back to get the Bafög Formblatt 5.","None","more than 30 ECTS","1","much more","9","No","Yes","Yes","","less often than in previous semesters","No","Yes","Yes","Desktop/Laptop Computer;Hybrid Laptop/Tablet;Printer;Pen & Paper","Frosch","3","Blubber;Stud.IP Forum;Discord;Telegram, Whatsapp","HTML/Web","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","9","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","Yes","Calendar","","","","BSc CogSci","4","Good to know at some point but not urgent",""
"2020/06/14 11:18:09 AM GMT+2","5","4","7","problem with concentration at home","8","6","6","4","3","7","5","4","7","7","7","6","8","","Add a function to raise a hand in BBB","5","mental health issues;social issues;issues with access to study material (library, labs)","Seems likely /or/ Yes, but not diagnosed","Yes, but i can somehow deal with it","","None","more than 30 ECTS","1","a bit less","5","Yes, one semester more","Yes","Yes","No","less often than in previous semesters","No","Yes","Maybe","Desktop/Laptop Computer;Tablet (+ Pen);Pen & Paper","Frosch","3","Slack;Discord","HTML/Web","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","6","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","No","Yes","A clock","Hypothes.is, Okular","BigBlueButton, Discord","","MSc CogSci","2","Very important to know ASAP",""
"2020/06/14 1:04:17 PM GMT+2","4","3","5","","","","","5","","2","","6","","5","9","1","2","","","5","mental health issues;social issues;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","Yes (Diagnosed or Suspected; via health care professional)","Yes, but i can somehow deal with it","I don't have an adequate working environment;
the university could offer workplaces for students, that don' have the opportunity to create one at home.","family","20 ECTS","3","a bit less","5","No","Yes","Yes","","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Frosch","1","Stud.IP Forum;big blue button, telegram","","","7","Wiki (Look up specific descriptions & definitions)","No","No","","miro.com, coda.io, google drive, github","","google drive - because it is accessible by almost anybody and the office apps are very intuitive","MSc CogSci","2","Very important to know ASAP","If I would not be free of anything else but my thesis for next semester, I would probably skip it as an holiday semester under the current conditions"
"2020/06/14 1:56:43 PM GMT+2","4","2","4","","4","5","5","3","3","10","2","3","4","4","","2","4","","","8","social issues;issues with technical equipment (computer, internet, ...);issues with access to study material (library, labs)","No","","","","20 ECTS","1","a bit less","5","No","Yes","No","No","less often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","3","Stud.IP Forum","","Video of slides + Narration by lecturer.","8","","No","No","","","","","","6","Very important to know ASAP",""
"2020/06/14 2:40:21 PM GMT+2","7","5","5","Not being able to attend classes is currently not sufficiently compensated by the oftentimes subpar video recordings and online organisation of the online classes this semester.","9","","9","9","4","9","","","","","","","5","In general online lectures should work really well because they are often not that interactive and could easily be recorded but unfortunately in my experience the recordings often lack quality. (Machine learning, philosophy of cognitive science had a lot of problems - Robotik from the computer science department managed the online recordings really well in my opinion)","","5","issues with access to study material (library, labs)","No","","","","25 ECTS","None","a bit less","5","Yes, one semester more","No","No","No","less often than in previous semesters","No","No","Maybe","Desktop/Laptop Computer;Tablet (+ Pen);Printer;Pen & Paper","Library Books","3","Stud.IP Forum","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer.","5","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","","","","","","BSc CogSci","8+","Good to know at some point but not urgent","I feel like a lot of lecturers could use some training in basic audio and video (screen) recording. Personally I have never done either of them but feel like I could do so better than a lot of the Profs currently. Just have a decent microphone (not expensive and could probably be provided by the university), a quiet room and record yourself giving the lecture to your laptop/computer screen while recording the powerpoint on your screen."
"2020/06/14 3:22:50 PM GMT+2","6","7","7","","","","","","2","2","","","","6","","","","","","3","internship (or similar) cancelled / postponed;issues with technical equipment (computer, internet, ...)","Yes (Diagnosed or Suspected; via health care professional)","No","social isolation and lack of networking is annoying (good that I am well connected already). ","I am doing therapy, but also before the corona-shutdown","15 ECTS","None","a bit less","5","Yes, more than one semester more","Yes","Yes","","more often than in previous semesters","No","No","No","Desktop/Laptop Computer;Printer;Pen & Paper","Frosch","3","Telegram","","","8","","Yes","No","Alarm Clock App on smartphone","","whatsapp, telegram, google documents","Macbook, without it nothing would work","BSc CogSci","8+","Very important to know ASAP","If the next semester is online, I will probably not take part in it as I am transitioning from the Bachelors to the masters program. Thinking about doing more than 15 ECTS like this, feels daunting to me. Studying only from home, without networking, seeing peers regularly without planning is essential for my study experience. Then again, I feel like I am working more efficiently, as distractions are reduced. I am glad, this is happening in the summer term, but in the winter term I fear that I won't be able to follow through so easily."
"2020/06/14 9:19:52 PM GMT+2","4","5","5","I find studying at home a lot more difficult than at uni","6","3","6","","7","","","","2","2","","","5","I am positively suprised how well the ""Testate"" are going. ","Especially with lectures where a lot a videos are uploaded, I find that the time requirement to work through them is a lot higher than with normal lectures. I feel like when studying from home everything takes longer than it usually does and this is not really considered","8","mental health issues;could not travel to Germany;issues with technical equipment (computer, internet, ...)","Yes (Diagnosed or Suspected; via health care professional)","Yes, but i can somehow deal with it","","Advice mentoring team","20 ECTS","2","a bit less","7","Yes, one semester more","No","No","No","less often than in previous semesters","Yes","Yes","Yes","Desktop/Laptop Computer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","1","Stud.IP Forum;BigBlueButton","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","8","Vips (With Question Pool & Selftest options )","No","No","","","","","BSc CogSci","7","Good to know at some point but not urgent","It would be very helpful to get more information about the exams (from this semester and the last one). It makes it very difficult to make study plans when you don't know when the exams will be happening and in which format"
"2020/06/15 10:42:37 AM GMT+2","6","2","8","","8","5","","","","","","","8","8","","","10","","","7","issues with technical equipment (computer, internet, ...)","No","I dont suffer from any psychological condition","","Advice dean of studies;Examination office","20 ECTS","2","much less","7","Yes, one semester more","Yes","Yes","","less often than in previous semesters","Yes","No","Yes","Hybrid Laptop/Tablet;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","3","","PDF (with Lecturer comments attached)","Video of slides + Narration by lecturer + Video of lecturer's face (present at all times)","7","Courseware (With Chapter Sidebar, Video/PDF/Code Embed)","Yes","No","","","Skype","","BSc CogSci","6","Very important to know ASAP",""
"2020/06/15 10:57:29 AM GMT+2","5","3","2","Uncertainty about missing information about exams and other ""Prüfungsleistungen""","","1","","","","8","","","1","5","","","","","","7","issues with access to study material (library, labs)","No","I dont suffer from any psychological condition","","Advice study coordinator;Examination office","15 ECTS","None","a bit less","6","No","No","No","No","more often than in previous semesters","No","No","Yes","Desktop/Laptop Computer;Printer;Pen & Paper","Secluded Workplaces (e.g. Library Rooms)","7","Stud.IP Forum","PDF (with Lecturer Comments printed below on the same page)","Video of slides + Narration by lecturer.","5","","Yes","No","","","","","","6","It doesn't matter at all when I would know",""
